order_id,date,customer_id,category,region,channel,quantity,unit_price,discount_pct,is_returned,gross_sales,discount_value,net_sales,cost,profit
ORD100000,2025-05-10,1228,Moda,Bogotá,Web,5,327.47,5,0,1637.35,81.87,1555.48,1107.78,447.7
ORD100001,2025-12-31,1170,Hogar,Valle,Web,3,182.34,5,1,547.02,27.35,519.67,351.76,167.91
ORD100002,2025-11-10,1294,Hogar,Antioquia,Web,2,40.91,0,0,81.82,0.0,81.82,48.42,33.4
ORD100003,2023-05-02,1188,Deportes,Bogotá,Web,2,301.5,15,0,603.0,90.45,512.55,401.6,110.95
ORD100004,2024-04-11,1425,Belleza,Centro,Web,1,208.68,10,1,208.68,20.87,187.81,105.96,81.85
ORD100005,2023-11-27,1976,Tecnología,Centro,Web,1,194.77,15,0,194.77,29.22,165.55,103.12,62.43
ORD100006,2023-03-29,2102,Tecnología,Antioquia,Web,1,146.89,5,0,146.89,7.34,139.55,80.89,58.66
ORD100007,2025-05-21,3705,Deportes,Antioquia,Marketplace,3,22.88,10,0,68.64,6.86,61.78,35.76,26.02
ORD100008,2023-05-11,1918,Tecnología,Antioquia,Marketplace,4,107.53,5,0,430.12,21.51,408.61,267.81,140.8
ORD100009,2025-02-08,1498,Belleza,Costa,Web,1,247.63,10,0,247.63,24.76,222.87,132.23,90.64
ORD100010,2023-12-10,2821,Moda,Antioquia,Web,1,152.35,20,0,152.35,30.47,121.88,86.17,35.71
ORD100011,2025-03-16,3809,Moda,Centro,App,6,439.71,10,0,2638.26,263.83,2374.43,1708.01,666.42
ORD100012,2024-01-21,1865,Tecnología,Antioquia,App,1,88.64,0,0,88.64,0.0,88.64,69.86,18.78
ORD100013,2025-08-13,1825,Tecnología,Valle,Marketplace,3,440.16,0,0,1320.48,0.0,1320.48,833.1,487.38
ORD100014,2023-10-04,2858,Moda,Centro,Web,5,214.32,20,0,1071.6,214.32,857.28,543.07,314.21
ORD100015,2024-04-04,3118,Belleza,Valle,App,4,152.4,0,0,609.6,0.0,609.6,375.83,233.77
ORD100016,2023-01-22,3295,Belleza,Centro,Marketplace,5,166.06,15,0,830.3,124.54,705.76,537.15,168.61
ORD100017,2023-09-10,1145,Tecnología,Bogotá,Web,6,178.43,5,0,1070.58,53.53,1017.05,676.92,340.13
ORD100018,2025-01-17,2641,Tecnología,Centro,Web,2,263.15,5,1,526.3,26.32,499.98,349.56,150.42
ORD100019,2025-05-06,2319,Tecnología,Centro,Web,2,189.86,10,0,379.72,37.97,341.75,222.53,119.22
ORD100020,2024-04-19,3629,Deportes,Valle,Web,1,330.66,0,0,330.66,0.0,330.66,195.86,134.8
ORD100021,2025-12-18,1469,Hogar,Valle,Web,6,224.09,5,0,1344.54,67.23,1277.31,737.88,539.43
ORD100022,2024-05-25,1192,Tecnología,Centro,App,5,342.39,0,0,1711.95,0.0,1711.95,1342.91,369.04
ORD100023,2024-11-30,2091,Tecnología,Centro,Web,3,310.12,10,0,930.36,93.04,837.32,520.55,316.77
ORD100024,2025-09-02,3541,Hogar,Costa,Web,4,137.34,0,0,549.36,0.0,549.36,441.82,107.54
ORD100025,2023-07-09,1051,Belleza,Bogotá,Marketplace,5,410.13,0,0,2050.65,0.0,2050.65,1652.35,398.3
ORD100026,2025-08-15,3929,Moda,Bogotá,Web,6,403.51,15,0,2421.06,363.16,2057.9,1397.95,659.95
ORD100027,2024-11-17,3410,Tecnología,Antioquia,Web,6,494.71,5,0,2968.26,148.41,2819.85,2280.75,539.1
ORD100028,2025-08-15,2820,Hogar,Centro,Web,5,104.02,0,0,520.1,0.0,520.1,290.06,230.04
ORD100029,2024-07-16,3964,Hogar,Centro,Web,4,426.96,5,0,1707.84,85.39,1622.45,932.5,689.95
ORD100030,2025-04-11,3521,Tecnología,Centro,Web,5,438.55,5,0,2192.75,109.64,2083.11,1282.56,800.55
ORD100031,2024-10-08,2869,Tecnología,Centro,App,5,328.24,5,0,1641.2,82.06,1559.14,945.59,613.55
