venta_id,fecha,departamento_id,linea_negocio,ingresos,costo,meta_ingresos
V000001,2025-12-04,1,B2B,4347.66,3614.88,4231.8
V000002,2024-03-21,2,Canal Digital,7420.2,4408.65,6917.54
V000003,2024-04-01,1,B2B,4734.77,3078.92,4288.78
V000004,2024-12-03,1,B2B,1226.12,790.98,1219.92
V000005,2024-09-26,5,B2B,4847.28,3732.11,5202.83
V000006,2024-11-28,3,B2B,936.35,671.43,977.88
V000007,2025-11-04,4,Canal Digital,5553.93,3372.05,6046.31
V000008,2025-08-06,2,B2B,5796.52,4125.82,5967.44
V000009,2025-09-13,4,Partners,3312.72,2134.66,3361.88
V000010,2025-08-27,4,Partners,3163.49,2410.18,3714.75
V000011,2025-11-19,1,B2B,6345.74,4850.12,5943.56
V000012,2025-02-20,5,B2C,7799.83,5975.51,7912.09
V000013,2024-08-24,1,B2B,3808.03,3139.3,3853.75
V000014,2025-09-29,2,B2B,6465.07,5474.79,7152.62
V000015,2025-06-30,2,B2C,3012.4,2320.22,3287.77
V000016,2024-05-20,3,Partners,6750.94,4668.23,6772.33
V000017,2024-02-07,1,B2B,15422.02,12763.99,15130.09
V000018,2025-05-16,3,B2B,9411.84,5379.84,9927.1
V000019,2024-08-19,3,B2B,4640.18,3126.86,4211.58
V000020,2025-04-13,1,Canal Digital,7888.18,5370.79,7153.6
V000021,2024-03-22,3,Canal Digital,8294.96,5937.74,8084.3
V000022,2024-04-01,2,B2C,10491.92,8599.94,10787.27
V000023,2025-02-12,2,B2B,8282.63,6227.66,8895.26
V000024,2025-05-19,1,B2C,2060.88,1508.22,1868.4
V000025,2025-10-19,1,B2C,1330.25,1091.89,1593.0
V000026,2025-08-02,3,B2B,6465.01,4038.09,6615.54
V000027,2024-11-22,2,Partners,2217.0,1806.61,2006.94
V000028,2025-11-14,4,B2B,4032.37,2929.79,3913.43
V000029,2025-01-05,1,Canal Digital,6638.21,4880.61,6576.14
V000030,2024-08-30,4,B2C,10275.22,7797.1,10419.18
V000031,2025-12-05,1,B2B,7305.22,4148.75,7706.52
V000032,2024-05-05,1,Canal Digital,9018.1,6559.98,10235.08
V000033,2024-03-20,1,B2C,4016.27,2491.09,3978.11
V000034,2025-08-31,4,B2C,11978.39,9077.87,12112.02
V000035,2024-01-24,4,B2C,12190.56,9519.82,12172.16
V000036,2024-03-30,2,Canal Digital,6930.38,5742.93,7567.56
V000037,2024-12-29,2,Canal Digital,5430.83,4251.08,6433.39
V000038,2024-05-18,4,B2C,3292.51,1872.95,3317.75
V000039,2025-03-17,2,Partners,6186.83,4618.56,6458.92
V000040,2024-01-28,1,B2C,14006.52,10503.99,14272.92
V000041,2024-09-02,2,B2B,6982.73,4427.87,7788.06
V000042,2024-05-22,2,Canal Digital,10818.24,8756.35,12203.1
V000043,2024-09-20,3,B2C,3567.74,2620.9,3995.26
V000044,2025-03-15,3,Canal Digital,11495.73,6884.51,12674.8
V000045,2024-12-01,5,B2C,3601.84,2658.34,3957.5
V000046,2025-11-11,1,Partners,7286.18,5332.39,7210.97
V000047,2025-05-11,5,B2B,7862.69,4582.44,7769.92
V000048,2024-10-10,1,B2C,4518.2,3274.74,4548.37
V000049,2024-09-05,3,B2B,8491.9,5171.5,7882.15
V000050,2024-05-13,2,B2B,4732.76,3477.77,4646.46
V000051,2025-11-24,2,Partners,6818.99,4978.55,8037.11
V000052,2025-11-21,1,B2B,5806.34,3950.27,6097.47
V000053,2024-08-15,1,B2B,5191.04,3845.62,6062.08
V000054,2025-11-30,3,Partners,5738.74,4747.24,5923.63
V000055,2024-01-02,1,B2B,4543.48,3265.74,4627.25
V000056,2024-05-11,2,B2B,5212.88,3725.0,5066.79
V000057,2025-12-28,1,B2C,4168.64,2673.3,3923.39
V000058,2025-04-10,2,B2B,12205.93,7692.53,13712.99
V000059,2025-08-03,1,B2C,6049.04,4728.1,6898.55
V000060,2024-11-24,3,B2B,8468.72,5286.91,9126.27
V000061,2024-04-24,2,B2C,11931.03,7385.05,12670.78
V000062,2025-11-03,1,Partners,6562.88,4565.81,6767.54
V000063,2024-10-02,5,B2C,5585.31,3433.05,5740.82
V000064,2024-03-31,4,B2B,5338.77,4174.57,5723.5
V000065,2025-03-19,3,B2B,1528.92,1132.49,1479.82
V000066,2024-09-30,4,Canal Digital,8483.01,6760.21,8122.02
V000067,2024-02-13,1,Canal Digital,5852.02,4929.34,5835.81
V000068,2024-01-19,1,Canal Digital,5363.88,4547.63,5586.96
V000069,2025-05-24,1,B2B,2952.28,1878.84,2814.25
V000070,2024-02-18,1,Canal Digital,8659.11,6079.95,8725.23
V000071,2024-05-18,3,Partners,4212.5,2951.67,4948.21
V000072,2024-10-30,1,B2B,5524.16,3353.44,5171.84
V000073,2024-04-20,5,Canal Digital,3980.89,2489.55,4720.62
V000074,2024-06-09,2,B2C,4669.65,2916.47,5101.89
V000075,2025-03-04,4,B2C,4477.09,2982.88,5329.82
V000076,2024-02-10,2,B2B,1537.03,867.92,1808.14
V000077,2024-09-21,2,Partners,11888.99,6821.59,12073.26
V000078,2025-03-28,2,B2C,3168.7,2469.39,3597.6
V000079,2025-01-20,3,B2B,5979.49,4117.34,5730.36
