orden_id,cliente_id,fecha_orden,canal,monto_orden,ciudad,segmento,fecha_registro,metodo_pago,estado_pago,fecha_pago,dias_pago
O000001,668,2025-09-13,Fuerza Comercial,662.21,Bucaramanga,SMB,2022-06-20,Efectivo,Pagado,2025-09-16,3.0
O000002,379,2025-04-24,Online,311.63,Cali,Enterprise,2024-03-15,Tarjeta,Pagado,2025-04-30,6.0
O000003,1055,2024-06-21,Fuerza Comercial,449.47,Cali,SMB,2022-04-30,Transferencia,Pagado,2024-06-23,2.0
O000004,462,2024-06-15,Fuerza Comercial,531.79,Cali,SMB,2023-09-07,Tarjeta,Pagado,2024-06-24,9.0
O000005,863,2024-11-19,Online,381.33,Bucaramanga,Enterprise,2025-04-21,Tarjeta,Pagado,2024-11-23,4.0
O000006,377,2025-04-09,Fuerza Comercial,673.22,Cali,SMB,2023-06-14,Transferencia,Pagado,2025-04-15,6.0
O000007,585,2024-08-01,Fuerza Comercial,407.8,Cali,Mid-Market,2023-08-17,,,,
O000008,959,2024-11-20,Online,436.33,Medellín,SMB,2024-04-09,Tarjeta,Pagado,2024-11-26,6.0
O000009,910,2024-03-31,Online,239.11,Bucaramanga,SMB,2025-03-16,Tarjeta,Pagado,2024-03-31,0.0
O000010,1062,2024-09-14,Fuerza Comercial,341.5,Barranquilla,Enterprise,2025-06-04,Tarjeta,Pagado,2024-09-15,1.0
O000011,361,2025-05-13,Partners,254.12,Bogotá,Enterprise,2024-08-06,Efectivo,Pagado,2025-05-20,7.0
O000012,1093,2024-11-23,Fuerza Comercial,731.15,Cali,SMB,2024-04-19,Transferencia,Pagado,2024-11-24,1.0
O000013,670,2024-01-27,Online,701.62,Cali,SMB,2024-11-20,Transferencia,Pagado,2024-02-04,8.0
O000014,193,2024-05-26,Fuerza Comercial,623.49,Barranquilla,Mid-Market,2024-10-19,PSE,Pagado,2024-05-26,0.0
O000015,737,2025-09-10,Online,403.13,Cali,Mid-Market,2025-01-26,Transferencia,Pagado,2025-09-10,0.0
O000016,479,2024-08-29,Fuerza Comercial,166.07,Bogotá,Enterprise,2022-12-04,Tarjeta,Pagado,2024-09-02,4.0
O000017,1141,2025-03-23,Fuerza Comercial,374.66,Medellín,SMB,2024-10-03,Tarjeta,Pagado,2025-03-31,8.0
O000018,1013,2025-04-11,Fuerza Comercial,850.65,Bucaramanga,SMB,2022-01-31,Transferencia,Pagado,2025-04-17,6.0
O000019,643,2024-11-29,Fuerza Comercial,812.3,Barranquilla,Mid-Market,2023-08-09,PSE,Pagado,2024-12-06,7.0
O000020,718,2024-05-18,Fuerza Comercial,90.11,Cali,Mid-Market,2022-08-13,Transferencia,Pendiente,2024-05-23,5.0
O000021,952,2025-06-13,Online,400.33,Barranquilla,Mid-Market,2023-08-23,Transferencia,Pagado,2025-06-13,0.0
O000022,1020,2024-11-17,Partners,299.97,Medellín,Mid-Market,2024-12-28,Tarjeta,Pagado,2024-11-26,9.0
O000023,263,2025-06-16,Online,491.52,Bucaramanga,SMB,2024-07-24,Transferencia,Pendiente,2025-06-23,7.0
O000024,779,2024-08-18,Online,389.67,Medellín,SMB,2022-11-08,Transferencia,Pagado,2024-08-23,5.0
O000025,256,2024-07-13,Fuerza Comercial,640.02,Bogotá,SMB,2023-02-01,Tarjeta,Pagado,2024-07-13,0.0
O000026,1175,2025-01-04,Fuerza Comercial,452.01,Bucaramanga,SMB,2022-06-06,Efectivo,Pendiente,2025-01-09,5.0
O000027,768,2024-07-31,Online,340.45,Cali,Mid-Market,2022-09-28,PSE,Pagado,2024-08-03,3.0
O000028,240,2024-08-08,Fuerza Comercial,779.77,Bucaramanga,Enterprise,2024-03-13,PSE,Pagado,2024-08-17,9.0
O000029,881,2025-06-17,Fuerza Comercial,576.74,Bucaramanga,SMB,2024-03-31,Efectivo,Pagado,2025-06-21,4.0
O000030,1125,2025-03-12,Online,329.75,Bogotá,Mid-Market,2025-04-01,Transferencia,Pagado,2025-03-20,8.0
O000031,688,2025-02-07,Fuerza Comercial,669.01,Cali,Enterprise,2024-05-22,Tarjeta,Pagado,2025-02-12,5.0
O000032,593,2025-05-12,Partners,315.58,Cali,SMB,2023-01-22,PSE,Pagado,2025-05-20,8.0
O000033,636,2025-07-02,Online,635.4,Medellín,SMB,2024-03-30,PSE,Pagado,2025-07-11,9.0
O000034,547,2025-07-20,Fuerza Comercial,327.43,Medellín,Mid-Market,2022-05-02,Tarjeta,Pendiente,2025-07-28,8.0
O000035,309,2024-03-25,Online,627.52,Barranquilla,SMB,2025-03-14,PSE,Pagado,2024-03-30,5.0
O000036,187,2025-07-28,Online,493.94,Bogotá,SMB,2023-10-02,Tarjeta,Pagado,2025-07-30,2.0
O000037,686,2025-07-24,Online,933.97,Medellín,Enterprise,2023-06-05,Tarjeta,Pagado,2025-08-02,9.0
O000038,805,2025-12-09,Partners,568.97,Bogotá,Mid-Market,2022-08-06,Transferencia,Pagado,2025-12-11,2.0
O000039,696,2024-10-17,Online,340.9,Medellín,Mid-Market,2022-06-07,PSE,Pagado,2024-10-19,2.0
O000040,891,2025-01-06,Partners,416.86,Cali,Mid-Market,2023-01-20,Tarjeta,Pagado,2025-01-13,7.0
O000041,991,2024-12-08,Partners,107.64,Barranquilla,SMB,2022-12-24,Transferencia,Pagado,2024-12-11,3.0
O000042,824,2025-07-20,Online,153.27,Medellín,Enterprise,2022-01-17,Tarjeta,Pagado,2025-07-22,2.0
O000043,1047,2025-07-11,Online,416.59,Bucaramanga,Enterprise,2025-01-10,Efectivo,Pendiente,2025-07-14,3.0
O000044,540,2025-04-11,Fuerza Comercial,558.44,Bucaramanga,Mid-Market,2022-06-20,Tarjeta,Pagado,2025-04-15,4.0
O000045,78,2025-09-17,Online,618.04,Bucaramanga,SMB,2022-10-31,Efectivo,Pagado,2025-09-22,5.0
O000046,610,2024-01-23,Fuerza Comercial,333.9,Barranquilla,SMB,2022-04-02,Tarjeta,Pagado,2024-01-30,7.0
O000047,435,2025-07-17,Fuerza Comercial,249.06,Cali,SMB,2024-12-20,Transferencia,Pagado,2025-07-21,4.0
O000048,63,2025-12-01,Fuerza Comercial,391.28,Medellín,SMB,2022-08-15,Tarjeta,Pendiente,2025-12-06,5.0
O000049,351,2025-12-17,Online,788.92,Barranquilla,SMB,2022-02-10,PSE,Pagado,2025-12-18,1.0
O000050,262,2024-07-17,Online,791.92,Medellín,Enterprise,2022-11-07,Tarjeta,Pagado,2024-07-18,1.0
O000051,813,2024-06-04,Fuerza Comercial,507.13,Bogotá,SMB,2025-05-24,Tarjeta,Pagado,2024-06-04,0.0
O000052,919,2024-07-11,Fuerza Comercial,333.18,Bucaramanga,Mid-Market,2023-04-24,Transferencia,Pagado,2024-07-19,8.0
O000053,662,2025-08-21,Partners,375.68,Bogotá,SMB,2022-11-27,Tarjeta,Pagado,2025-08-22,1.0
O000054,1061,2024-06-11,Fuerza Comercial,203.25,Cali,Mid-Market,2022-11-14,,,,
O000055,423,2024-09-13,Online,622.12,Bucaramanga,SMB,2022-05-15,Transferencia,Pagado,2024-09-18,5.0
O000056,182,2025-01-19,Partners,353.19,Medellín,Mid-Market,2024-10-18,Tarjeta,Pagado,2025-01-22,3.0
O000057,667,2024-05-11,Fuerza Comercial,433.44,Cali,SMB,2022-12-10,Tarjeta,Pagado,2024-05-17,6.0
O000058,51,2025-06-28,Online,419.01,Barranquilla,SMB,2023-08-10,Transferencia,Pendiente,2025-06-29,1.0
O000059,279,2025-07-07,Online,687.67,Bogotá,SMB,2025-03-14,Tarjeta,Pagado,2025-07-16,9.0
O000060,397,2024-11-02,Partners,405.07,Barranquilla,SMB,2024-04-07,Transferencia,Pagado,2024-11-07,5.0
O000061,492,2024-04-22,Online,500.3,Barranquilla,Enterprise,2023-04-07,PSE,Pagado,2024-04-22,0.0
O000062,1054,2025-06-11,Fuerza Comercial,386.23,Bogotá,SMB,2022-03-12,Transferencia,Pendiente,2025-06-19,8.0
O000063,1069,2025-12-05,Fuerza Comercial,597.21,Bucaramanga,SMB,2023-07-04,Tarjeta,Pagado,2025-12-09,4.0
O000064,61,2024-09-03,Fuerza Comercial,479.12,Medellín,SMB,2024-10-04,Tarjeta,Pagado,2024-09-08,5.0
O000065,179,2025-01-18,Partners,565.73,Barranquilla,SMB,2023-06-30,Transferencia,Pagado,2025-01-23,5.0
O000066,1140,2025-07-21,Online,293.66,Bogotá,SMB,2024-02-24,Transferencia,Pagado,2025-07-30,9.0
O000067,435,2024-12-08,Fuerza Comercial,412.79,Cali,SMB,2024-12-20,Tarjeta,Pagado,2024-12-14,6.0
O000068,261,2025-06-12,Online,158.42,Bogotá,SMB,2022-10-19,Tarjeta,Pagado,2025-06-19,7.0
O000069,213,2025-12-09,Online,436.31,Bogotá,Mid-Market,2024-09-27,Transferencia,Pagado,2025-12-17,8.0
O000070,149,2025-01-06,Fuerza Comercial,185.71,Barranquilla,SMB,2022-10-21,Tarjeta,Pendiente,2025-01-15,9.0
O000071,651,2024-04-08,Online,229.19,Barranquilla,SMB,2022-08-14,Tarjeta,Pagado,2024-04-17,9.0
O000072,390,2025-02-08,Partners,605.74,Barranquilla,SMB,2025-05-26,Tarjeta,Pagado,2025-02-16,8.0
O000073,300,2025-01-30,Online,998.59,Barranquilla,SMB,2025-03-02,PSE,Pendiente,2025-02-04,5.0
O000074,675,2025-05-20,Online,176.99,Bogotá,Mid-Market,2024-04-27,Transferencia,Pendiente,2025-05-29,9.0
O000075,8,2024-03-11,Online,437.17,Medellín,Enterprise,2023-09-27,Transferencia,Pagado,2024-03-16,5.0
O000076,209,2025-03-30,Partners,262.08,Cali,SMB,2025-04-27,Transferencia,Pagado,2025-04-08,9.0
O000077,770,2024-03-18,Fuerza Comercial,354.84,Barranquilla,SMB,2023-08-13,Tarjeta,Pagado,2024-03-19,1.0
O000078,512,2024-08-22,Fuerza Comercial,458.64,Barranquilla,SMB,2024-01-19,Tarjeta,Pagado,2024-08-25,3.0
O000079,257,2025-05-29,Fuerza Comercial,134.48,Barranquilla,SMB,2022-11-27,PSE,Pagado,2025-05-29,0.0
O000080,363,2024-09-13,Online,782.11,Bogotá,Enterprise,2024-08-27,Transferencia,Pagado,2024-09-14,1.0
O000081,1071,2025-06-28,Online,390.1,Bogotá,Mid-Market,2022-11-19,PSE,Pagado,2025-07-05,7.0
O000082,52,2025-08-19,Online,393.03,Barranquilla,SMB,2025-05-08,Transferencia,Pagado,2025-08-25,6.0
O000083,234,2025-09-07,Fuerza Comercial,512.45,Medellín,Mid-Market,2023-03-28,Tarjeta,Pagado,2025-09-07,0.0
O000084,669,2025-06-21,Partners,540.81,Barranquilla,Mid-Market,2024-02-22,Tarjeta,Pendiente,2025-06-21,0.0
O000085,645,2024-06-03,Partners,760.07,Bogotá,SMB,2022-12-04,PSE,Pagado,2024-06-08,5.0
O000086,815,2025-12-08,Online,158.2,Bucaramanga,SMB,2025-06-21,Transferencia,Pagado,2025-12-12,4.0
O000087,465,2025-10-25,Fuerza Comercial,626.66,Barranquilla,Mid-Market,2024-03-06,Transferencia,Pagado,2025-10-28,3.0
O000088,618,2025-10-17,Online,225.83,Barranquilla,Mid-Market,2024-05-12,Tarjeta,Pagado,2025-10-21,4.0
O000089,787,2025-04-05,Online,451.78,Medellín,SMB,2025-01-03,PSE,Pagado,2025-04-12,7.0
O000090,518,2024-10-29,Online,365.55,Barranquilla,Enterprise,2023-11-26,Tarjeta,Pagado,2024-11-07,9.0
O000091,1188,2025-09-03,Fuerza Comercial,590.98,Bucaramanga,SMB,2023-02-19,Tarjeta,Pendiente,2025-09-07,4.0
O000092,793,2024-11-25,Online,481.51,Bogotá,Mid-Market,2022-07-01,Tarjeta,Pagado,2024-11-27,2.0
O000093,519,2024-12-16,Fuerza Comercial,217.29,Cali,SMB,2023-12-16,Tarjeta,Pagado,2024-12-25,9.0
O000094,653,2024-02-22,Fuerza Comercial,432.85,Cali,Mid-Market,2022-07-11,Transferencia,Pagado,2024-02-25,3.0
O000095,529,2024-06-23,Fuerza Comercial,586.41,Medellín,SMB,2022-04-23,Tarjeta,Pagado,2024-06-29,6.0
O000096,572,2025-03-13,Online,353.15,Cali,Mid-Market,2024-04-14,Transferencia,Pendiente,2025-03-15,2.0
O000097,1099,2025-03-15,Online,505.2,Barranquilla,Enterprise,2022-11-14,Tarjeta,Pagado,2025-03-24,9.0
O000098,734,2025-12-18,Online,267.07,Barranquilla,Mid-Market,2024-09-22,Tarjeta,Pagado,2025-12-25,7.0
O000099,301,2025-06-04,Online,596.89,Bucaramanga,Mid-Market,2025-04-29,Tarjeta,Pagado,2025-06-07,3.0
O000100,324,2025-09-13,Online,281.36,Bucaramanga,Enterprise,2022-04-01,Transferencia,Pagado,2025-09-20,7.0
O000101,834,2024-08-25,Online,394.0,Bogotá,SMB,2024-11-01,Tarjeta,Pagado,2024-08-30,5.0
O000102,268,2025-07-13,Online,212.29,Bucaramanga,Enterprise,2023-02-16,Efectivo,Pendiente,2025-07-16,3.0
O000103,262,2024-06-17,Online,389.45,Medellín,Enterprise,2022-11-07,Efectivo,Pagado,2024-06-21,4.0
O000104,114,2025-09-04,Fuerza Comercial,492.06,Cali,Enterprise,2022-01-27,Tarjeta,Pagado,2025-09-06,2.0
O000105,7,2025-07-29,Fuerza Comercial,236.85,Bogotá,SMB,2024-01-04,Tarjeta,Pagado,2025-08-04,6.0
O000106,1092,2025-02-16,Online,573.38,Bucaramanga,SMB,2022-02-07,,,,
O000107,888,2025-08-29,Fuerza Comercial,1079.85,Bogotá,Enterprise,2023-02-21,Tarjeta,Pagado,2025-08-29,0.0
O000108,1144,2025-04-17,Fuerza Comercial,527.89,Cali,Enterprise,2025-02-14,Transferencia,Pagado,2025-04-21,4.0
