orden_id,cliente_id,fecha_orden,canal,monto_orden
O000001,668,2025-09-13,Fuerza Comercial,662.21
O000002,379,2025-04-24,Online,311.63
O000003,1055,2024-06-21,Fuerza Comercial,449.47
O000004,462,2024-06-15,Fuerza Comercial,531.79
O000005,863,2024-11-19,Online,381.33
O000006,377,2025-04-09,Fuerza Comercial,673.22
O000007,585,2024-08-01,Fuerza Comercial,407.8
O000008,959,2024-11-20,Online,436.33
O000009,910,2024-03-31,Online,239.11
O000010,1062,2024-09-14,Fuerza Comercial,341.5
O000011,361,2025-05-13,Partners,254.12
O000012,1093,2024-11-23,Fuerza Comercial,731.15
O000013,670,2024-01-27,Online,701.62
O000014,193,2024-05-26,Fuerza Comercial,623.49
O000015,737,2025-09-10,Online,403.13
O000016,479,2024-08-29,Fuerza Comercial,166.07
O000017,1141,2025-03-23,Fuerza Comercial,374.66
O000018,1013,2025-04-11,Fuerza Comercial,850.65
O000019,643,2024-11-29,Fuerza Comercial,812.3
O000020,718,2024-05-18,Fuerza Comercial,90.11
O000021,952,2025-06-13,Online,400.33
O000022,1020,2024-11-17,Partners,299.97
O000023,263,2025-06-16,Online,491.52
O000024,779,2024-08-18,Online,389.67
O000025,256,2024-07-13,Fuerza Comercial,640.02
O000026,1175,2025-01-04,Fuerza Comercial,452.01
O000027,768,2024-07-31,Online,340.45
O000028,240,2024-08-08,Fuerza Comercial,779.77
O000029,881,2025-06-17,Fuerza Comercial,576.74
O000030,1125,2025-03-12,Online,329.75
O000031,688,2025-02-07,Fuerza Comercial,669.01
O000032,593,2025-05-12,Partners,315.58
O000033,636,2025-07-02,Online,635.4
O000034,547,2025-07-20,Fuerza Comercial,327.43
O000035,309,2024-03-25,Online,627.52
O000036,187,2025-07-28,Online,493.94
O000037,686,2025-07-24,Online,933.97
O000038,805,2025-12-09,Partners,568.97
O000039,696,2024-10-17,Online,340.9
O000040,891,2025-01-06,Partners,416.86
O000041,991,2024-12-08,Partners,107.64
O000042,824,2025-07-20,Online,153.27
O000043,1047,2025-07-11,Online,416.59
O000044,540,2025-04-11,Fuerza Comercial,558.44
O000045,78,2025-09-17,Online,618.04
O000046,610,2024-01-23,Fuerza Comercial,333.9
O000047,435,2025-07-17,Fuerza Comercial,249.06
O000048,63,2025-12-01,Fuerza Comercial,391.28
O000049,351,2025-12-17,Online,788.92
O000050,262,2024-07-17,Online,791.92
O000051,813,2024-06-04,Fuerza Comercial,507.13
O000052,919,2024-07-11,Fuerza Comercial,333.18
O000053,662,2025-08-21,Partners,375.68
O000054,1061,2024-06-11,Fuerza Comercial,203.25
O000055,423,2024-09-13,Online,622.12
O000056,182,2025-01-19,Partners,353.19
O000057,667,2024-05-11,Fuerza Comercial,433.44
O000058,51,2025-06-28,Online,419.01
O000059,279,2025-07-07,Online,687.67
O000060,397,2024-11-02,Partners,405.07
O000061,492,2024-04-22,Online,500.3
O000062,1054,2025-06-11,Fuerza Comercial,386.23
O000063,1069,2025-12-05,Fuerza Comercial,597.21
O000064,61,2024-09-03,Fuerza Comercial,479.12
O000065,179,2025-01-18,Partners,565.73
O000066,1140,2025-07-21,Online,293.66
O000067,435,2024-12-08,Fuerza Comercial,412.79
O000068,261,2025-06-12,Online,158.42
O000069,213,2025-12-09,Online,436.31
O000070,149,2025-01-06,Fuerza Comercial,185.71
O000071,651,2024-04-08,Online,229.19
O000072,390,2025-02-08,Partners,605.74
O000073,300,2025-01-30,Online,998.59
O000074,675,2025-05-20,Online,176.99
O000075,8,2024-03-11,Online,437.17
O000076,209,2025-03-30,Partners,262.08
O000077,770,2024-03-18,Fuerza Comercial,354.84
O000078,512,2024-08-22,Fuerza Comercial,458.64
