orden_id,metodo_pago,estado_pago,fecha_pago
O000001,Efectivo,Pagado,2025-09-16
O000002,Tarjeta,Pagado,2025-04-30
O000003,Transferencia,Pagado,2024-06-23
O000004,Tarjeta,Pagado,2024-06-24
O000005,Tarjeta,Pagado,2024-11-23
O000006,Transferencia,Pagado,2025-04-15
O000007,Transferencia,Rechazado,2024-08-06
O000008,Tarjeta,Pagado,2024-11-26
O000009,Tarjeta,Pagado,2024-03-31
O000010,Tarjeta,Pagado,2024-09-15
O000011,Efectivo,Pagado,2025-05-20
O000012,Transferencia,Pagado,2024-11-24
O000013,Transferencia,Pagado,2024-02-04
O000014,PSE,Pagado,2024-05-26
O000015,Transferencia,Pagado,2025-09-10
O000016,Tarjeta,Pagado,2024-09-02
O000017,Tarjeta,Pagado,2025-03-31
O000018,Transferencia,Pagado,2025-04-17
O000019,PSE,Pagado,2024-12-06
O000020,Transferencia,Pendiente,2024-05-23
O000021,Transferencia,Pagado,2025-06-13
O000022,Tarjeta,Pagado,2024-11-26
O000023,Transferencia,Pendiente,2025-06-23
O000024,Transferencia,Pagado,2024-08-23
O000025,Tarjeta,Pagado,2024-07-13
O000026,Efectivo,Pendiente,2025-01-09
O000027,PSE,Pagado,2024-08-03
O000028,PSE,Pagado,2024-08-17
O000029,Efectivo,Pagado,2025-06-21
O000030,Transferencia,Pagado,2025-03-20
O000031,Tarjeta,Pagado,2025-02-12
O000032,PSE,Pagado,2025-05-20
O000033,PSE,Pagado,2025-07-11
O000034,Tarjeta,Pendiente,2025-07-28
O000035,PSE,Pagado,2024-03-30
O000036,Tarjeta,Pagado,2025-07-30
O000037,Tarjeta,Pagado,2025-08-02
O000038,Transferencia,Pagado,2025-12-11
O000039,PSE,Pagado,2024-10-19
O000040,Tarjeta,Pagado,2025-01-13
O000041,Transferencia,Pagado,2024-12-11
O000042,Tarjeta,Pagado,2025-07-22
O000043,Efectivo,Pendiente,2025-07-14
O000044,Tarjeta,Pagado,2025-04-15
O000045,Efectivo,Pagado,2025-09-22
O000046,Tarjeta,Pagado,2024-01-30
O000047,Transferencia,Pagado,2025-07-21
O000048,Tarjeta,Pendiente,2025-12-06
O000049,PSE,Pagado,2025-12-18
O000050,Tarjeta,Pagado,2024-07-18
O000051,Tarjeta,Pagado,2024-06-04
O000052,Transferencia,Pagado,2024-07-19
O000053,Tarjeta,Pagado,2025-08-22
O000054,PSE,Rechazado,2024-06-14
O000055,Transferencia,Pagado,2024-09-18
O000056,Tarjeta,Pagado,2025-01-22
O000057,Tarjeta,Pagado,2024-05-17
O000058,Transferencia,Pendiente,2025-06-29
O000059,Tarjeta,Pagado,2025-07-16
O000060,Transferencia,Pagado,2024-11-07
O000061,PSE,Pagado,2024-04-22
O000062,Transferencia,Pendiente,2025-06-19
O000063,Tarjeta,Pagado,2025-12-09
O000064,Tarjeta,Pagado,2024-09-08
O000065,Transferencia,Pagado,2025-01-23
O000066,Transferencia,Pagado,2025-07-30
O000067,Tarjeta,Pagado,2024-12-14
O000068,Tarjeta,Pagado,2025-06-19
O000069,Transferencia,Pagado,2025-12-17
O000070,Tarjeta,Pendiente,2025-01-15
O000071,Tarjeta,Pagado,2024-04-17
O000072,Tarjeta,Pagado,2025-02-16
O000073,PSE,Pendiente,2025-02-04
O000074,Transferencia,Pendiente,2025-05-29
O000075,Transferencia,Pagado,2024-03-16
O000076,Transferencia,Pagado,2025-04-08
O000077,Tarjeta,Pagado,2024-03-19
O000078,Tarjeta,Pagado,2024-08-25
O000079,PSE,Pagado,2025-05-29
O000080,Transferencia,Pagado,2024-09-14
O000081,PSE,Pagado,2025-07-05
O000082,Transferencia,Pagado,2025-08-25
O000083,Tarjeta,Pagado,2025-09-07
O000084,Tarjeta,Pendiente,2025-06-21
O000085,PSE,Pagado,2024-06-08
O000086,Transferencia,Pagado,2025-12-12
O000087,Transferencia,Pagado,2025-10-28
O000088,Tarjeta,Pagado,2025-10-21
